mpg,cylinders,displacement,horsepower,weight,acceleration,year,name,L/100km,weight_normalized,displacement_normalized,horsepower_normalized,horsepower_binned,origin_Europe,origin_Japan,origin_USA
18.0,8,307.0,130.0,3504,12.0,70,chevrolet chevelle malibu,13.055555555555555,0.6817120622568094,0.6747252747252748,0.5652173913043478,Medium,0,0,1
15.0,8,350.0,165.0,3693,11.5,70,buick skylark 320,15.666666666666666,0.7184824902723735,0.7692307692307693,0.717391304347826,Medium,0,0,1
18.0,8,318.0,150.0,3436,11.0,70,plymouth satellite,13.055555555555555,0.6684824902723735,0.6989010989010989,0.6521739130434783,Medium,0,0,1
16.0,8,304.0,150.0,3433,12.0,70,amc rebel sst,14.6875,0.6678988326848249,0.6681318681318681,0.6521739130434783,Medium,0,0,1
17.0,8,302.0,140.0,3449,10.5,70,ford torino,13.823529411764707,0.6710116731517509,0.6637362637362637,0.6086956521739131,Medium,0,0,1
15.0,8,429.0,198.0,4341,10.0,70,ford galaxie 500,15.666666666666666,0.8445525291828794,0.9428571428571428,0.8608695652173913,High,0,0,1
14.0,8,454.0,220.0,4354,9.0,70,chevrolet impala,16.785714285714285,0.8470817120622568,0.9978021978021978,0.9565217391304348,High,0,0,1
14.0,8,440.0,215.0,4312,8.5,70,plymouth fury iii,16.785714285714285,0.8389105058365759,0.967032967032967,0.9347826086956522,High,0,0,1
14.0,8,455.0,225.0,4425,10.0,70,pontiac catalina,16.785714285714285,0.8608949416342413,1.0,0.9782608695652174,High,0,0,1
15.0,8,390.0,190.0,3850,8.5,70,amc ambassador dpl,15.666666666666666,0.7490272373540856,0.8571428571428571,0.8260869565217391,High,0,0,1
15.0,8,383.0,170.0,3563,10.0,70,dodge challenger se,15.666666666666666,0.6931906614785992,0.8417582417582418,0.7391304347826086,High,0,0,1
14.0,8,340.0,160.0,3609,8.0,70,plymouth 'cuda 340,16.785714285714285,0.7021400778210116,0.7472527472527473,0.6956521739130435,Medium,0,0,1
15.0,8,400.0,150.0,3761,9.5,70,chevrolet monte carlo,15.666666666666666,0.7317120622568093,0.8791208791208791,0.6521739130434783,Medium,0,0,1
14.0,8,455.0,225.0,3086,10.0,70,buick estate wagon (sw),16.785714285714285,0.6003891050583657,1.0,0.9782608695652174,High,0,0,1
24.0,4,113.0,95.0,2372,15.0,70,toyota corona mark ii,9.791666666666666,0.4614785992217899,0.24835164835164836,0.41304347826086957,Low,0,1,0
22.0,6,198.0,95.0,2833,15.5,70,plymouth duster,10.681818181818182,0.5511673151750973,0.4351648351648352,0.41304347826086957,Low,0,0,1
18.0,6,199.0,97.0,2774,15.5,70,amc hornet,13.055555555555555,0.5396887159533074,0.43736263736263736,0.4217391304347826,Low,0,0,1
21.0,6,200.0,85.0,2587,16.0,70,ford maverick,11.19047619047619,0.5033073929961089,0.43956043956043955,0.3695652173913043,Low,0,0,1
27.0,4,97.0,88.0,2130,14.5,70,datsun pl510,8.703703703703704,0.4143968871595331,0.21318681318681318,0.3826086956521739,Low,0,1,0
26.0,4,97.0,46.0,1835,20.5,70,volkswagen 1131 deluxe sedan,9.038461538461538,0.35700389105058367,0.21318681318681318,0.2,Low,1,0,0
25.0,4,110.0,87.0,2672,17.5,70,peugeot 504,9.4,0.5198443579766537,0.24175824175824176,0.3782608695652174,Low,1,0,0
24.0,4,107.0,90.0,2430,14.5,70,audi 100 ls,9.791666666666666,0.4727626459143969,0.23516483516483516,0.391304347826087,Low,1,0,0
25.0,4,104.0,95.0,2375,17.5,70,saab 99e,9.4,0.46206225680933855,0.22857142857142856,0.41304347826086957,Low,1,0,0
26.0,4,121.0,113.0,2234,12.5,70,bmw 2002,9.038461538461538,0.43463035019455254,0.26593406593406593,0.49130434782608695,Medium,1,0,0
21.0,6,199.0,90.0,2648,15.0,70,amc gremlin,11.19047619047619,0.5151750972762645,0.43736263736263736,0.391304347826087,Low,0,0,1
10.0,8,360.0,215.0,4615,14.0,70,ford f250,23.5,0.8978599221789884,0.7912087912087912,0.9347826086956522,High,0,0,1
10.0,8,307.0,200.0,4376,15.0,70,chevy c20,23.5,0.8513618677042801,0.6747252747252748,0.8695652173913043,High,0,0,1
11.0,8,318.0,210.0,4382,13.5,70,dodge d200,21.363636363636363,0.8525291828793774,0.6989010989010989,0.9130434782608695,High,0,0,1
9.0,8,304.0,193.0,4732,18.5,70,hi 1200d,26.11111111111111,0.9206225680933852,0.6681318681318681,0.8391304347826087,High,0,0,1
27.0,4,97.0,88.0,2130,14.5,71,datsun pl510,8.703703703703704,0.4143968871595331,0.21318681318681318,0.3826086956521739,Low,0,1,0
28.0,4,140.0,90.0,2264,15.5,71,chevrolet vega 2300,8.392857142857142,0.4404669260700389,0.3076923076923077,0.391304347826087,Low,0,0,1
